t,u,v,speed,direction,u2,v2,pres,ibe
1968,0.87564576,0.56295806,2.2246444,2.3240159,3.1919503,0.9483276,18.089193,-0.17901
1969,0.78741205,0.20652817,2.459301,2.8996108,2.4467354,1.2809563,-34.55794,0.34202695
1970,2.158262,0.49383384,3.0357306,2.831175,8.675321,2.0278597,-51.714844,0.511825
1971,1.1876329,0.3680334,2.3780859,3.3062935,3.0192816,2.3607483,173.38086,-1.7158971
1972,0.87321925,0.87043726,2.9186165,2.7330863,3.7314239,3.6131778,90.63867,-0.8970159
1973,1.9234831,-0.16637799,2.386544,3.3178914,7.1067924,-0.16041207,251.19531,-2.4860094
1974,2.0704603,0.6927937,3.8663118,2.235081,10.792322,3.0338173,-78.28451,0.77477896
1975,0.907143,0.101349406,2.5136797,3.04866,3.8277235,0.7085997,295.20248,-2.9215384
1976,0.68980503,0.22916353,2.543196,2.8233674,3.139475,0.6354104,110.06836,-1.0893073
1977,1.7923763,0.9642633,3.1272378,2.1338513,6.2327013,3.6087399,-66.86914,0.66180366
1978,1.7362294,0.774614,3.347897,2.2437992,7.492812,2.298243,-70.313805,0.6958946
1979,1.7790447,1.2998741,3.006195,1.8971072,5.816929,3.1756268,-72.47656,0.71729916
1980,1.7152625,0.61528337,2.9786928,1.8059863,5.614874,0.3421077,18.847006,-0.18650988
1981,2.2227497,0.4420958,3.2741017,2.4775407,8.74208,1.5422974,-30.826822,0.30510077
1982,1.7461777,1.4773349,3.0845513,1.486362,5.4902816,4.2354383,76.37174,-0.75581944
1983,2.2468574,0.7929278,3.3696043,1.85309,11.389901,2.3756874,109.291016,-1.081614
1984,1.6106092,0.5648993,2.9656641,2.7960117,6.35139,3.0106297,-10.94987,0.108383216
1985,1.7452425,1.1026902,2.7592483,1.7353828,6.08756,2.8555627,122.99414,-1.2172309
1986,1.7333751,1.0273464,3.5986502,1.5964739,4.680795,3.5785654,89.1224,-0.8820097
1987,1.0824995,0.38287994,2.306039,2.8401678,2.38997,1.7271537,167.51823,-1.6578758
1988,2.3880093,0.7519555,3.5386865,1.7699018,10.158291,2.6921642,41.346355,-0.4091809
