time,NearestPointAverage2,EquilibriumTide,NearestPointAverageNoTide,NearestPointAverage2_dt,EquilibriumTide_dt,NearestPointAverageNoTide_dt
1972,-3.3801477860400624,-3.904126481089672,-3.9714239043362287,-3.3175602856422293,-3.873408600086362,-3.922901221624141
1973,-0.10745290460517332,-0.9766792649510023,-0.8983529106560697,-0.04253350579284995,-0.9452862650605383,-0.848556636921201
1974,-1.0869809707291562,-2.2908404961784994,-2.2863842383778605,-1.01989293692995,-2.258796307743039,-2.235433564824055
1975,-0.02426706884996621,-1.5424655545967623,-1.5363745663229156,0.04481765787352521,-1.5097941590320565,-1.484394291361317
1976,-1.400516556003281,-2.9530550606423365,-2.911384831791689,-1.3296157570530938,-2.919780490437731,-2.858505361040742
1977,0.5286816223826576,-0.9032154915835444,-0.9458413080894572,0.601209194226961,-0.8693618303019791,-0.8921986543749062
1978,-2.2860403603919113,-3.3896765797902098,-3.3850874550059094,-2.212083993621062,-3.355267962068218,-3.3308232383607987
1979,0.44097495436305145,-0.2784463135003188,-0.312960593694517,0.5161534594578847,-0.24350692504802773,-0.25822204135919175
1980,1.428332493271741,1.256677816724804,1.323078833230241,1.504517801453006,1.2921237391236728,1.378138886808136
1981,3.0003879777586846,3.362441107304563,3.3955065147158905,3.0773560751538382,3.398369275792694,3.45072962788141
1982,1.031309907112738,1.7988247502637966,1.7397787741141881,1.1088281012142467,1.8352108259102806,1.7950008980050869
1983,0.18350929198375887,1.4462430437356684,1.452623101493744,0.2613362116490974,1.483062636536002,1.5076745800404767
1984,-1.6319209448800018,-0.17713169289911335,-0.20864041177481418,-1.554035349428349,-0.13990302402302746,-0.1539348418490936
1985,-1.2419616469043637,0.31117841042677963,0.2744442077503315,-1.164276104078903,0.34879166322692656,0.32862299857089416
1986,-2.5407334226961,-1.0824488422691427,-1.136548802643862,-2.4635153395443283,-1.0444755487702202,-1.0830832686199032
1987,-1.372835819597233,-0.16630323676048242,-0.18641619265930487,-1.2963612818016392,-0.1279944968616633,-0.13385600033069628
1988,0.8547000317341187,1.7821723895075152,1.7906616079124404,0.9301462598560558,1.8207919304337576,1.8421187664396521
1989,0.3994078449650704,0.7685669828683341,0.7265861095368038,0.47353232046088123,0.8074726283759326,0.7767369349492723
